A,B,C,uot_weight,final_weight
-2.251479617045584,1.1076425090401465,0.14498539567241714,1.5970758410866925,1.60971689618857
-2.251479617045584,1.0976184333059915,0.15801812899021636,1.5868046112849463,1.5993643683178485
-2.233708654828221,1.1338204690388325,0.15801812899021608,1.5995576299556034,0.8972078490485202
-2.233708654828221,1.1129180747188796,0.18467376797754106,1.586187383934687,1.3879582865926634
-2.233708654828221,1.0908833545635628,0.21072052274719058,1.5711865003733003,1.3748320942801313
-2.215444061772978,-0.8498468806163014,-0.7155241138442008,1.816456690414495,2.168003592764883
-2.215444061772978,1.1990599028943083,-0.7445793267809236,1.8924771247519443,1.281559416255115
-2.215444061772978,1.2081315425664452,-0.7301149307386035,1.8818154433964178,1.2743394726396389
-2.215444061772978,1.115602130740087,0.22504488719851307,1.5596325286546153,1.3647220461531402
-2.215444061772978,1.1038570038785067,0.23817828397388044,1.5541699483267726,1.3599421357156996
-2.215444061772978,1.079529384446336,0.2639355363772395,1.5497199619513709,1.3560482732833536
-2.215444061772978,1.066954302304292,0.27655154609663324,1.5365037239564632,1.344483695713011
-2.1966914014518335,-0.8769370669163193,-0.7260216767811729,1.8048590327961842,2.1541613891401896
-2.1966914014518335,1.2439812625761186,-0.7260216767811729,1.8706611663635522,1.2667859500231577
-2.1966914014518335,1.3483835328816844,-0.4396793852617591,1.8074585178601177,3.0570010046795972
-2.1966914014518335,1.3508825660931196,-0.4231442154246732,1.794305133534935,3.0347543480068757
-2.1966914014518335,1.0769329357088848,0.3048234478785376,1.5269493620331804,1.3361233620356425
-2.1966914014518335,1.0634798944739063,0.31739641596271506,1.5166091614502748,1.3270753975710192
-2.1774563861067815,1.2615323577719018,-0.7517453299354017,1.8743130938783668,1.2692589849850495
-2.1774563861067815,1.3825455799836268,-0.40888536164485256,1.8223920987486215,3.082258553513231
-2.1774563861067815,1.3843778926107992,-0.3918705092518566,1.8029210076994369,3.0493265972268793
-2.1774563861067815,1.0994836116671214,0.3204707280458899,1.5052224175348639,1.317111678445036
-2.1774563861067815,1.0572856360299878,0.35854526003443,1.4870256725772728,1.301189018103197
-2.1577448749098305,1.315044242434403,-0.7147995265890906,1.86646281185513,1.263942882235086
-2.1577448749098305,1.3967192838982547,-0.49776404820118336,1.83671676043241,3.1064862216595976
-2.1577448749098305,1.406824526027952,-0.44593006264130647,1.8292883066869388,3.0939222870858702
-2.1577448749098305,1.4135767812326676,-0.39373745142506095,1.803170687247154,3.0497488866574107
-2.1577448749098305,1.4162059947987724,-0.35881375726969394,1.803227952674827,3.0498457411457442
-2.1577448749098305,1.1217552768751247,0.33592441049640714,1.4876718354453502,1.3017544286696416
-2.1577448749098305,1.1076272977746182,0.34912816325550433,1.4836966515771715,1.2982760316993653
-2.1577448749098305,1.0785312546501726,0.37492472726584675,1.4764465498287809,1.29193199006706
-2.1577448749098305,1.0635720535628286,0.3875096806337982,1.4766606667163744,1.5955125811859312
-2.137562872178241,1.323281151404684,-0.7567507225194889,1.8778111809303693,1.2716278413066087
-2.137562872178241,1.3415595050155222,-0.7241660456615938,1.8744257879980444,1.2693352998891199
-2.137562872178241,1.425148459681218,-0.5020447165669064,1.8687468105060896,3.1606594678434705
-2.137562872178241,1.4289755339251162,-0.48441162307825625,1.8676834094485417,3.1588609103279444
-2.137562872178241,1.4324232309874014,-0.4667269523452184,1.8600766930207129,3.1459954755019677
-2.137562872178241,1.4354905006661496,-0.44899609128981355,1.8585923486268505,3.143484965712399
-2.137562872178241,1.445860966376752,-0.34194416104896597,1.8131686403232294,3.0666586814307313
-2.137562872178241,1.0995042448110417,0.3910940095647581,1.464647297954417,1.5825322930031684
-2.137562872178241,1.0841945007434068,0.4039738695279659,1.4488039733060976,1.5654137874629501
-2.137562872178241,1.052756699058424,0.42907263209608637,1.4498569409878863,1.5665515053027645
-2.1169165255455518,1.3490307179241272,-0.7667287895635471,1.8872222777911967,1.2780009063447724
-2.1169165255455518,1.3930471473745518,-0.6824839563118554,1.8950947427191864,1.1032271767712256
-2.1169165255455518,1.4747731976489995,-0.32424403287645936,1.8485041767284196,5.478707118808079
-2.1169165255455518,1.4747731976489995,-0.3059344061574199,1.848192270686787,5.477782673046905
-2.0958121240889533,1.4418902004547043,-0.637426396001972,1.8948002406028859,1.1030557327104114
-2.0958121240889533,1.5025055659517368,-0.2870292232665696,1.858681788748024,5.50887213337838
-2.0958121240889533,1.5017018932465065,-0.26833205624796364,1.859334722242438,5.510807336678968
-2.0958121240889533,1.0917616343813707,0.4624652108670495,1.4131723481534244,1.5269142814487426
-2.0958121240889533,1.0749198726542315,0.47522442067742754,1.4049520842479244,1.5180323935664994
-2.0958121240889533,1.0578065825297163,0.4877428932970624,1.3992281385751695,1.5118477449598466
-2.074256096413572,1.3994570398910815,-0.7862692047775894,1.897782826490501,2.332860637560476
-2.074256096413572,1.5294089214783453,-0.26734926008674287,1.8673174166158348,10.046388578859753
